Journal/Book	COUNT
A Life Course Perspective on Health Trajectories and Transitions	11
ACS Appl Bio Mater	1
ACS Appl Energy Mater	2
ACS Appl Mater Interfaces	6
ACS Catal	1
ACS Cent Sci	3
ACS Chem Biol	5
ACS Chem Neurosci	3
ACS Macro Lett	1
ACS Mater Lett	1
ACS Meas Sci Au	2
ACS Nano	9
ACS Nanosci Au	1
ACS Omega	8
ACS Org Inorg Au	2
ACS Photonics	1
ACS Sens	30
AIDS	6
AIDS Care	2
AIDS Res Hum Retroviruses	2
AIDS Res Ther	1
AJNR Am J Neuroradiol	7
AJOB Neurosci	1
ARYA Atheroscler	1
ASAIO J	2
ASN Neuro	1
ATS Sch	1
Acad Emerg Med	1
Acad Psychiatry	1
Acad Radiol	1
Acc Chem Res	8
Accid Anal Prev	1
Account Res	1
Acta Anaesthesiol Scand	4
Acta Biomater	3
Acta Biomed	1
Acta Biotheor	1
Acta Chir Belg	1
Acta Crystallogr A Found Adv	2
Acta Crystallogr B Struct Sci Cryst Eng Mater	2
Acta Crystallogr C Struct Chem	3
Acta Derm Venereol	1
Acta Diabetol	1
Acta Gastroenterol Belg	1
Acta Haematol	1
Acta Neurochir (Wien)	18
Acta Neurochir Suppl	1
Acta Neuropathol	2
Acta Oncol	2
Acta Ophthalmol	3
Acta Orthop	1
Acta Paediatr	3
Acta Physiol (Oxf)	1
Acta Psychiatr Scand	2
Acta Psychol (Amst)	6
Acta Radiol	3
Acta Radiol Open	2
Actas Esp Psiquiatr	1
Addict Behav	4
Addict Behav Rep	1
Addiction	2
Adv Clin Chem	1
Adv Colloid Interface Sci	1
Adv Drug Deliv Rev	2
Adv Exp Med Biol	7
Adv Life Course Res	3
Adv Mater	8
Adv Med Educ Pract	1
Adv Methods Pract Psychol Sci	1
Adv Nutr	1
Adv Parasitol	1
Adv Radiat Oncol	1
Adv Sci (Weinh)	1
Adv Skin Wound Care	1
Adv Ther	2
Adv Wound Care (New Rochelle)	3
Affect Sci	2
Afr J Paediatr Surg	1
Age Ageing	6
Ageing Res Rev	3
Aging (Albany NY)	2
Aging Clin Exp Res	15
Aging Ment Health	7
Alcohol Clin Exp Res	1
Aliment Pharmacol Ther	5
Allergo J	1
Allergol Int	1
Allergol Select	2
Allergy	4
Alzheimer Dis Assoc Disord	3
Alzheimers Dement	9
Alzheimers Dement (Amst)	2
Alzheimers Res Ther	5
Am Behav Sci	1
Am Heart J	3
Am J Bioeth	3
Am J Bot	2
Am J Cancer Res	1
Am J Cardiol	9
Am J Case Rep	3
Am J Clin Hypn	1
Am J Clin Nutr	3
Am J Clin Oncol	1
Am J Dent	1
Am J Disaster Med	1
Am J Emerg Med	1
Am J Epidemiol	1
Am J Gastroenterol	1
Am J Geriatr Psychiatry	2
Am J Health Syst Pharm	2
Am J Hematol	2
Am J Hum Biol	2
Am J Hum Genet	16
Am J Infect Control	3
Am J Kidney Dis	1
Am J Law Med	1
Am J Med	4
Am J Med Genet A	4
Am J Med Sci	1
Am J Nucl Med Mol Imaging	1
Am J Obstet Gynecol	4
Am J Obstet Gynecol MFM	1
Am J Ophthalmol	4
Am J Ophthalmol Case Rep	1
Am J Orthod Dentofacial Orthop	4
Am J Orthopsychiatry	1
Am J Pathol	1
Am J Perinatol	1
Am J Physiol Endocrinol Metab	1
Am J Physiol Heart Circ Physiol	3
Am J Physiol Lung Cell Mol Physiol	4
Am J Physiol Regul Integr Comp Physiol	1
Am J Physiol Renal Physiol	1
Am J Public Health	2
Am J Reprod Immunol	1
Am J Respir Cell Mol Biol	1
Am J Respir Crit Care Med	2
Am J Speech Lang Pathol	1
Am J Sports Med	4
Am J Surg	1
Am J Transplant	5
Am J Trop Med Hyg	6
Am Psychol	1
Ambio	3
Amyotroph Lateral Scler Frontotemporal Degener	1
An Acad Bras Cienc	3
Anaesth Crit Care Pain Med	16
Anaesthesia	3
Anaesthesiol Intensive Ther	1
Anal Bioanal Chem	16
Anal Biochem	3
Anal Chem	51
Anal Chim Acta	12
Anal Sci Adv	1
Analyst	3
Anat Sci Educ	1
Anatol J Cardiol	2
Anesth Analg	9
Anesthesiology	8
Angew Chem Int Ed Engl	57
Angew Chem Weinheim Bergstr Ger	1
Angiogenesis	1
Ann Am Thorac Soc	1
Ann Biol Clin (Paris)	1
Ann Bot	1
Ann Cardiol Angeiol (Paris)	1
Ann Chir Plast Esthet	2
Ann Clin Biochem	1
Ann Clin Transl Neurol	2
Ann Endocrinol (Paris)	3
Ann Gastroenterol	1
Ann Geriatr Med Res	1
Ann Glob Health	2
Ann Hematol	2
Ann Henri Poincare	2
Ann Hum Biol	1
Ann Intensive Care	9
Ann Intern Med	3
Ann Ist Super Sanita	2
Ann Med Surg (Lond)	2
Ann N Y Acad Sci	16
Ann Neurol	7
Ann Nucl Med	1
Ann Occup Hyg	1
Ann Oncol	15
Ann Pharm Fr	3
Ann Pharmacother	2
Ann Phys Rehabil Med	2
Ann Plast Surg	1
Ann Rheum Dis	16
Ann Surg	3
Ann Thorac Surg	5
Ann Transl Med	6
Ann Work Expo Health	4
Annu Rev Chem Biomol Eng	1
Annu Rev Psychol	1
Anthropol Anz	2
Antibiotics (Basel)	4
Antibodies (Basel)	1
Anticancer Drugs	1
Anticancer Res	3
Antimicrob Agents Chemother	6
Antimicrob Resist Infect Control	7
Antivir Ther	3
Aphasiology	2
Apoptosis	3
Appetite	5
Appl Environ Microbiol	2
Appl Microbiol Biotechnol	1
Appl Neuropsychol Adult	6
Appl Neuropsychol Child	4
Appl Physiol Nutr Metab	1
Appl Psychol Health Well Being	3
Appl Psychophysiol Biofeedback	3
Appl Radiat Isot	1
Appl Transl Genom	1
Aquat Toxicol	9
Arch Cardiovasc Dis	1
Arch Clin Neuropsychol	2
Arch Dis Child	3
Arch Environ Contam Toxicol	2
Arch Gerontol Geriatr	4
Arch Gynecol Obstet	2
Arch Orthop Trauma Surg	1
Arch Osteoporos	3
Arch Pediatr	6
Arch Phys Med Rehabil	2
Arch Sex Behav	1
Arch Suicide Res	1
Arch Virol	1
Arq Bras Cardiol	1
Arq Neuropsiquiatr	1
Arrhythm Electrophysiol Rev	1
Arterioscler Thromb Vasc Biol	4
Arthritis Care Res (Hoboken)	5
Arthritis Res Ther	2
Arthritis Rheumatol	6
Arthrosc Sports Med Rehabil	3
Arthrosc Tech	4
Arthroscopy	8
Artif Intell Med	1
Artif Life	1
Asia Pac J Ophthalmol (Phila)	1
Asia Pac J Public Health	1
Asian Cardiovasc Thorac Ann	1
Assessment	1
Astrobiology	1
Astron Astrophys Suppl Ser	1
Astrophys J	1
Astrophys J Lett	1
Atheroscler Suppl	1
Atherosclerosis	10
Attach Hum Dev	2
Atten Percept Psychophys	8
Audiol Neurootol	1
Auris Nasus Larynx	2
Aust N Z J Psychiatry	1
Aust Vet J	1
Autism Res	1
Autoimmun Rev	4
Autophagy	2
BJOG	2
BJPsych Int	1
BJS Open	2
BMC Anesthesiol	2
BMC Bioinformatics	5
BMC Biol	6
BMC Cancer	9
BMC Cardiovasc Disord	1
BMC Emerg Med	1
BMC Evol Biol	4
BMC Fam Pract	1
BMC Genet	1
BMC Genomics	6
BMC Geriatr	12
BMC Health Serv Res	12
BMC Infect Dis	7
BMC Med	10
BMC Med Educ	3
BMC Med Ethics	7
BMC Med Genet	1
BMC Med Imaging	1
BMC Med Inform Decis Mak	2
BMC Med Res Methodol	1
BMC Mol Cell Biol	3
BMC Musculoskelet Disord	2
BMC Nephrol	4
BMC Neurol	2
BMC Neurosci	1
BMC Nutr	1
BMC Palliat Care	1
BMC Pediatr	2
BMC Plant Biol	1
BMC Pregnancy Childbirth	5
BMC Prim Care	2
BMC Psychiatry	12
BMC Psychol	1
BMC Public Health	20
BMC Pulm Med	3
BMC Res Notes	2
BMC Womens Health	2
BMJ	20
BMJ Case Rep	10
BMJ Evid Based Med	1
BMJ Glob Health	17
BMJ Med	1
BMJ Open	55
BMJ Open Gastroenterol	1
BMJ Open Respir Res	1
BMJ Open Sport Exerc Med	2
BMJ Paediatr Open	1
BMJ Sex Reprod Health	2
Basic Clin Pharmacol Toxicol	4
Behav Brain Res	3
Behav Brain Sci	4
Behav Neurol	1
Behav Res Methods	5
Behav Res Ther	4
Beilstein J Org Chem	5
Best Pract Res Clin Endocrinol Metab	1
Best Pract Res Clin Gastroenterol	1
Best Pract Res Clin Obstet Gynaecol	2
Best Pract Res Clin Rheumatol	1
Biling (Camb Engl)	5
Bioanalysis	3
Biochem Biophys Rep	2
Biochem Biophys Res Commun	4
Biochem J	1
Biochem Soc Trans	2
Biochemistry (Mosc)	1
Biochim Biophys Acta	2
Biochim Biophys Acta Bioenerg	2
Biochim Biophys Acta Biomembr	1
Biochim Biophys Acta Gen Subj	1
Biochim Biophys Acta Mol Cell Res	1
Biochim Biophys Acta Proteins Proteom	1
Biochimie	2
Bioconjug Chem	6
Biodivers Data J	1
Bioengineering (Basel)	4
Bioessays	5
Bioethics	4
Bioinform Adv	1
Bioinformatics	9
Bioinformation	1
Biointerphases	1
Biol Lett	1
Biol Open	1
Biol Psychiatry	5
Biol Psychiatry Cogn Neurosci Neuroimaging	2
Biol Psychiatry Glob Open Sci	2
Biol Psychol	15
Biol Trace Elem Res	1
Biologicals	1
Biology (Basel)	7
Biomed Chromatogr	1
Biomed Eng Online	1
Biomed Hub	1
Biomed Mater	1
Biomed Opt Express	6
Biomed Pharmacother	1
Biomed Phys Eng Express	1
Biomed Res Int	9
Biomedicines	8
Biomol NMR Assign	1
Biomolecules	8
Bioorg Chem	1
Bioorg Med Chem	4
Bioorg Med Chem Lett	4
Biophys Chem	1
Biophys J	7
Biopolymers	1
Biopreserv Biobank	1
Biosci Rep	1
Biosens Bioelectron	3
Biosensors (Basel)	4
Biotechniques	1
Birth	1
Blood	5
Blood Adv	2
Blood Cells Mol Dis	1
Blood Coagul Fibrinolysis	1
Blood Transfus	3
Bone	3
Bone Joint J	3
Bone Joint Res	1
Bone Jt Open	1
Bone Marrow Transplant	15
Borderline Personal Disord Emot Dysregul	2
Br Dent J	2
Br J Anaesth	17
Br J Cancer	6
Br J Clin Pharmacol	5
Br J Dermatol	4
Br J Educ Psychol	1
Br J Ophthalmol	2
Br J Oral Maxillofac Surg	1
Br J Pharmacol	2
Br J Psychiatry	5
Br J Psychol	1
Br J Radiol	3
Br J Soc Psychol	2
Br J Sociol	1
Br J Sports Med	4
Br J Surg	2
Brain	12
Brain Behav	6
Brain Behav Evol	1
Brain Behav Immun	2
Brain Circ	1
Brain Cogn	4
Brain Connect	5
Brain Imaging Behav	4
Brain Inj	4
Brain Lang	5
Brain Res	4
Brain Sci	9
Brain Spine	9
Brain Stimul	8
Brain Struct Funct	6
Brain Topogr	10
Breast	10
Breast Cancer	2
Breast Cancer Res	3
Breast Cancer Res Treat	7
Breast Care (Basel)	2
Breast Dis	1
Breastfeed Med	1
Brief Bioinform	2
Bull Cancer	16
Bull Menninger Clin	1
Bull Volcanol	1
Bull World Health Organ	4
Burns	2
C R Biol	2
CJC Open	3
CJC Pediatr Congenit Heart Dis	1
CJEM	3
CMAJ	2
CNS Drugs	1
CNS Oncol	1
CRISPR J	2
CRSLS	1
Cad Saude Publica	1
Calcif Tissue Int	4
Camb Prism Precis Med	1
Can J Anaesth	2
Can J Cardiol	9
Can J Diabetes	2
Can J Hosp Pharm	2
Can Med Educ J	1
Can Urol Assoc J	1
Cancer	2
Cancer Cell	1
Cancer Cell Int	1
Cancer Chemother Pharmacol	1
Cancer Cytopathol	3
Cancer Discov	1
Cancer Epidemiol	1
Cancer Epidemiol Biomarkers Prev	1
Cancer Genomics Proteomics	2
Cancer Immunol Immunother	3
Cancer Inform	1
Cancer Invest	1
Cancer J	1
Cancer Lett	2
Cancer Med	2
Cancer Nanotechnol	1
Cancer Radiother	7
Cancer Rep (Hoboken)	1
Cancer Res	1
Cancer Treat Rev	9
Cancers (Basel)	20
Carbohydr Polym	2
Card Electrophysiol Clin	1
Cardiol J	5
Cardiol Res	1
Cardiol Res Pract	1
Cardiol Young	1
Cardiology	1
Cardiorenal Med	1
Cardiovasc Intervent Radiol	1
Cardiovasc Res	4
Cardiovasc Revasc Med	3
Case Rep Crit Care	1
Case Rep Dent	2
Case Rep Gastroenterol	2
Case Rep Gastrointest Med	1
Case Rep Obstet Gynecol	3
Case Rep Oncol	6
Case Rep Orthop	3
Case Rep Psychiatry	1
Case Rep Radiol	1
Case Rep Urol	1
Case Rep Womens Health	1
Catheter Cardiovasc Interv	5
Cell	7
Cell Adh Migr	1
Cell Chem Biol	1
Cell Death Differ	6
Cell Death Dis	2
Cell Death Discov	2
Cell Metab	3
Cell Microbiol	1
Cell Mol Life Sci	6
Cell Mol Neurobiol	1
Cell Physiol Biochem	1
Cell Rep	14
Cell Rep Med	1
Cell Rep Methods	1
Cell Stem Cell	1
Cell Stress Chaperones	1
Cell Syst	1
CellR4 Repair Replace Regen Reprogram	1
Cells	6
Cent Asian J Glob Health	1
Cent European J Urol	1
Cephalalgia	1
Cereb Cortex	19
Cereb Cortex Commun	1
Cerebellum	2
Chaos	2
Chem Asian J	2
Chem Biodivers	2
Chem Biol Drug Des	1
Chem Biol Interact	2
Chem Commun (Camb)	19
Chem Mater	1
Chem Res Toxicol	2
Chem Rev	3
Chem Sci	46
Chem Senses	4
Chem Soc Rev	2
ChemCatChem	1
ChemRxiv	1
ChemSusChem	3
Chembiochem	9
Chemistry	44
ChemistryOpen	3
Chemosphere	16
Chemphyschem	4
Chempluschem	3
Chest	3
Child Abuse Negl	1
Child Care Health Dev	1
Child Dev	2
Child Neuropsychol	3
Child Psychiatry Hum Dev	1
Children (Basel)	10
Childs Nerv Syst	3
Chimia (Aarau)	50
Chin J Integr Med	1
Chirality	2
Chromosoma	1
Circ Cardiovasc Interv	3
Circ Res	3
Circulation	9
Cleft Palate Craniofac J	1
Cleve Clin J Med	1
Clim Change	2
Clim Dyn	1
Climacteric	1
Clin Anat	1
Clin Auton Res	1
Clin Biochem	1
Clin Cancer Res	5
Clin Cardiol	4
Clin Case Rep	1
Clin Chim Acta	1
Clin Colorectal Cancer	1
Clin Drug Investig	1
Clin Endocrinol (Oxf)	1
Clin Epidemiol	1
Clin Epigenetics	3
Clin Exp Dent Res	4
Clin Exp Gastroenterol	1
Clin Exp Rheumatol	1
Clin Genet	4
Clin Genitourin Cancer	3
Clin Gerontol	1
Clin Hemorheol Microcirc	1
Clin Imaging	1
Clin Implant Dent Relat Res	5
Clin Infect Dis	20
Clin Interv Aging	1
Clin J Am Soc Nephrol	5
Clin Kidney J	4
Clin Linguist Phon	6
Clin Liver Dis (Hoboken)	2
Clin Lung Cancer	3
Clin Med Insights Reprod Health	1
Clin Microbiol Infect	39
Clin Microbiol Rev	1
Clin Mol Hepatol	1
Clin Neurol Neurosurg	2
Clin Neurophysiol	16
Clin Neurophysiol Pract	8
Clin Neuropsychol	1
Clin Neuroradiol	1
Clin Nucl Med	1
Clin Nutr	12
Clin Nutr ESPEN	4
Clin Nutr Exp	1
Clin Obes	1
Clin Obstet Gynecol	1
Clin Oncol (R Coll Radiol)	4
Clin Oral Implants Res	13
Clin Oral Investig	6
Clin Orthop Relat Res	1
Clin Pharmacokinet	4
Clin Pharmacol Ther	2
Clin Pract	1
Clin Pract Cases Emerg Med	1
Clin Psychol Eur	1
Clin Psychol Psychother	1
Clin Psychol Rev	2
Clin Psychol Sci	1
Clin Rehabil	1
Clin Res Cardiol	2
Clin Res Hepatol Gastroenterol	2
Clin Rev Allergy Immunol	1
Clin Rheumatol	3
Clin Spine Surg	1
Clin Ter	2
Clin Ther	1
Clin Transl Allergy	1
Clin Transl Gastroenterol	1
Clin Transl Med	1
Clin Transl Oncol	5
Clin Transl Sci	2
Clin Transplant	3
Clin Vaccine Immunol	1
Cochrane Database Syst Rev	5
Cogn Affect Behav Neurosci	3
Cogn Behav Neurol	1
Cogn Dev	1
Cogn Emot	13
Cogn Neuropsychiatry	1
Cogn Neuropsychol	1
Cogn Neurosci	2
Cogn Process	4
Cogn Psychol	1
Cogn Sci	4
Cognit Ther Res	2
Cognition	23
Cold Spring Harb Perspect Biol	1
Cold Spring Harb Perspect Med	2
Cold Spring Harb Symp Quant Biol	1
Colloids Surf B Biointerfaces	1
Colorectal Dis	7
Commun Biol	11
Commun Integr Biol	1
Commun Math Phys	5
Community Ment Health J	2
Comp Polit Stud	1
Compend Contin Educ Dent	1
Compet Change	1
Complement Ther Clin Pract	1
Complement Ther Med	1
Complex Psychiatry	1
Complex speech-language therapy interventions for stroke-related aphasia: the RELEASE study incorporating a systematic review and individual participant data network meta-analysis	1
Compr Psychiatry	2
Comput Biol Med	4
Comput Commun	1
Comput Med Imaging Graph	1
Comput Methods Programs Biomed	2
Confl Health	10
Conscious Cogn	7
Conserv Biol	2
Cont Lens Anterior Eye	1
Contact Dermatitis	2
Contemp Clin Trials Commun	2
Contracept Reprod Med	1
Contraception	1
Contrast Media Mol Imaging	1
Contrib Nephrol	1
Cornea	6
Cortex	19
Crim Law Philos	1
Crit Care	22
Crit Care Explor	1
Crit Care Med	8
Crit Rev Microbiol	1
Crit Rev Oncol Hematol	11
Cryobiology	1
Cureus	1
Curr Aging Sci	1
Curr Allergy Asthma Rep	1
Curr Alzheimer Res	1
Curr Biol	5
Curr Cardiol Rep	2
Curr Diabetes Rev	1
Curr Drug Metab	1
Curr Eye Res	1
Curr Genet	1
Curr Hepatol Rep	1
Curr Hypertens Rep	1
Curr Issues Mol Biol	2
Curr Med Chem	1
Curr Med Res Opin	4
Curr Neurol Neurosci Rep	1
Curr Neuropharmacol	1
Curr Oncol	4
Curr Oncol Rep	4
Curr Opin Cell Biol	1
Curr Opin Chem Biol	5
Curr Opin Clin Nutr Metab Care	3
Curr Opin Hematol	1
Curr Opin Immunol	1
Curr Opin Infect Dis	3
Curr Opin Insect Sci	1
Curr Opin Lipidol	1
Curr Opin Microbiol	1
Curr Opin Nephrol Hypertens	2
Curr Opin Neurobiol	2
Curr Opin Neurol	5
Curr Opin Ophthalmol	1
Curr Opin Plant Biol	3
Curr Opin Psychiatry	1
Curr Opin Psychol	2
Curr Opin Rheumatol	1
Curr Opin Urol	1
Curr Opin Virol	1
Curr Osteoporos Rep	1
Curr Otorhinolaryngol Rep	1
Curr Pharm Biotechnol	1
Curr Pharm Des	2
Curr Pharm Teach Learn	1
Curr Protoc	2
Curr Psychiatry Rep	1
Curr Res Ecol Soc Psychol	1
Curr Res Transl Med	1
Curr Rheumatol Rep	1
Curr Ther Res Clin Exp	1
Curr Top Behav Neurosci	2
Curr Treat Options Gastroenterol	1
Curr Treat Options Oncol	2
Curr Vasc Pharmacol	1
Curr Zool	1
Cyberpsychol Behav Soc Netw	1
Cytokine	1
Cytometry B Clin Cytom	1
Cytoskeleton (Hoboken)	1
Dalton Trans	15
Data Brief	9
Death Stud	1
Dement Geriatr Cogn Dis Extra	3
Dement Geriatr Cogn Disord	6
Dementia (London)	2
Demography	2
Dent Mater	2
Dentomaxillofac Radiol	1
Depress Anxiety	1
Dermatol Surg	1
Dermatol Ther (Heidelb)	1
Dermatology	1
Dermatopathology (Basel)	1
Dev Biol	3
Dev Cell	3
Dev Cogn Neurosci	5
Dev Comp Immunol	1
Dev Growth Differ	1
Dev Med Child Neurol	2
Dev Neuropsychol	1
Dev Psychol	6
Dev Psychopathol	1
Dev Sci	4
Development	2
Diabet Foot Ankle	1
Diabet Med	2
Diabetes	8
Diabetes Care	4
Diabetes Metab Res Rev	6
Diabetes Obes Metab	5
Diabetes Res Clin Pract	1
Diabetes Spectr	1
Diabetologia	5
Diagn Microbiol Infect Dis	1
Diagnostics (Basel)	2
Dialogues Clin Neurosci	4
Dig Dis Sci	1
Dig Liver Dis	4
Digestion	2
Digit Health	3
Dis Colon Rectum	1
Disabil Rehabil	1
Disaster Med Public Health Prep	1
Discov Ment Health	1
Diving Hyperb Med	3
Drug Alcohol Depend	1
Drug Deliv	1
Drug Deliv Transl Res	1
Drug Des Devel Ther	1
Drug Dev Res	1
Drug Discov Today	1
Drug Discov Today Technol	1
Drug Saf Case Rep	1
Drug Test Anal	5
Drugs	1
Drugs Aging	3
Drugs Context	1
Dtsch Arztebl Int	1
Dysphagia	1
EBioMedicine	7
EClinicalMedicine	2
EFORT Open Rev	9
EJHaem	2
EJNMMI Phys	1
EJNMMI Radiopharm Chem	1
EJNMMI Res	1
EJVES Vasc Forum	1
EMBO J	3
EMBO Mol Med	2
EMBO Rep	5
ESC Heart Fail	2
ESMO Open	10
EURASIP J Inf Secur	1
Early Hum Dev	2
Early Interv Psychiatry	1
Earth Syst Environ	1
Eat Behav	1
Eat Weight Disord	2
Ecography	1
Ecol Evol	4
Ecol Lett	1
Econ Ind Democr	1
Ecosystems	2
Ecotoxicol Environ Saf	3
Electrophoresis	1
Elife	15
Emerg Med J	1
Emerg Radiol	2
Emergencias	1
Emot Rev	1
Emotion	5
Encephale	5
Endocr Connect	1
Endocr Dev	1
Endocr Relat Cancer	2
Endocr Rev	1
Endocrine	5
Endocrinology	1
Endosc Int Open	1
Endosc Ultrasound	1
Endoscopy	6
Energies (Basel)	1
Energy Res Soc Sci	1
Ensuring innovation in diagnostics for bacterial infection: Implications for policy	1
Entropy (Basel)	16
Environ Health	1
Environ Int	8
Environ Manage	2
Environ Microbiol	5
Environ Monit Assess	1
Environ Pollut	10
Environ Res	3
Environ Res Lett	1
Environ Sci Nano	2
Environ Sci Policy	1
Environ Sci Pollut Res Int	18
